site,lat,long,fill,island,location,capacity,year,developer
Puna Geothermal Venture,19.48,-154.89,green,Hawaii,Hawaii,unknown,1980,Hawaii Geothermal Dev.
Kamaoa Wind Farm,18.9895,-155.6713,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9898,-155.6713,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9902,-155.6713,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9905,-155.6713,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9908,-155.6713,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9912,-155.6713,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9915,-155.6713,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9919,-155.6713,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9923,-155.6712,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9927,-155.6712,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9901,-155.6682,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9905,-155.6682,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9908,-155.6682,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9912,-155.6682,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9915,-155.6682,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9919,-155.6682,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
Kamaoa Wind Farm,18.9922,-155.6682,darkred,Honolulu,Kamaoa,250kW,1987,Mitsubishi
